company_google_maps_url|company_name|company_avg_rating|company_number_of_ratings|company_category|company_address|company_website|company_phone
https://www.google.com/maps/place/01+Company+Goi%C3%A2nia/data=!4m5!3m4!1s0x935ef1e7f77d5cb3:0x1fa4cb5b85c9eec7!8m2!3d-16.7308112!4d-49.272381?authuser=0&hl=pt-BR&rclk=1|01 Company Goiânia|||Consultoria em Marketing|Av. Feira de Santana, 894 - Parque Amazonia, Goiânia - GO, 74000-000||wa.me
https://www.google.com/maps/place/MC+Company+-+Loja+05+Goi%C3%A1s+Center+Modas/data=!4m5!3m4!1s0x935ef3bd7fc90b5d:0x4bb9724ef1e95dec!8m2!3d-16.649359!4d-49.263558?authuser=0&hl=pt-BR&rclk=1|MC Company - Loja 05 Goiás Center Modas|2,8|4 avaliações|Loja de moda feminina|||
https://www.google.com/maps/place/Levy+transporte+de+cargas+e+mudan%C3%A7as.+Frete+em+geral+Goi%C3%A2nia/data=!4m5!3m4!1s0x935ef9f18aa400fb:0x5d93d75e2087f6c8!8m2!3d-16.764027!4d-49.298325?authuser=0&hl=pt-BR&rclk=1|Levy transporte de cargas e mudanças. Frete em geral Goiânia|4,7|7 avaliações|Mudanças|rua h33 quadra 164 lote 15a 62993737009 - Cidade Vera Cruz, Aparecida de Goiânia - GO, 74936-010||(62) 99373-7009
https://www.google.com/maps/place/Dog+Company+Veterin%C3%A1ria/data=!4m5!3m4!1s0x935ef693b97f3121:0xde1653642469f2b2!8m2!3d-16.7010923!4d-49.311563?authuser=0&hl=pt-BR&rclk=1|Dog Company Veterinária|4,4|148 avaliações|Hospital Veterinário|Av. Belo Horizonte, 500 - Jardim Ana Lúcia, Goiânia - GO, 74315-040||(62) 3110-5996
https://www.google.com/maps/place/Virtue+Trasnportes+Ltda/data=!4m5!3m4!1s0x935efa087ec87b6b:0xdc945a14b362a411!8m2!3d-16.75707!4d-49.2737753?authuser=0&hl=pt-BR&rclk=1|Virtue Trasnportes Ltda|||Empresa de transporte rodoviário|R. dos Palmitos - Conj. Cruzeiro do Sul, Aparecida de Goiânia - GO, 74917-220|(62) 3518-3996|6PVG+5F Conj. Cruzeiro do Sul, Aparecida de Goiânia - GO
https://www.google.com/maps/place/Jb+Forro+E+A%C3%A7o/data=!4m5!3m4!1s0x935ef9c9d423938f:0x2fae4a24eaa0890d!8m2!3d-16.7842862!4d-49.3173968?authuser=0&hl=pt-BR&rclk=1|Jb Forro E Aço|||Distribuidor de aço|R. Ribeirão Preto - Jardim Buriti Sereno, Aparecida de Goiânia - GO, 74942-390|Reivindicar esta empresa|
https://www.google.com/maps/place/NCR+Brasil/data=!4m5!3m4!1s0x935ef1608dc2e85f:0x15a535939e7f7e7e!8m2!3d-16.6767883!4d-49.2652452?authuser=0&hl=pt-BR&rclk=1|NCR Brasil|||Empresa de Automação Empresarial|Alameda dos Buritis, 83 - St. Central, Goiânia - GO, 74015-080|8PFM+7W St. Central, Goiânia - GO|Reivindicar esta empresa
https://www.google.com/maps/place/IG+Company/data=!4m5!3m4!1s0x935ef7660e2bb75d:0x9703a65ab5aa006e!8m2!3d-16.6978251!4d-49.3248478?authuser=0&hl=pt-BR&rclk=1|IG Company|||Mudanças|R. dos Gerânios - Chácaras da Ge, Goiânia - GO, 74375-600||mudancas-brasil.webnode.com
https://www.google.com/maps/place/MC+Company+Loja+04+-+Marista+CMB/data=!4m5!3m4!1s0x935ef1161c01268d:0xa4ef534a6edac178!8m2!3d-16.7009834!4d-49.2631826?authuser=0&hl=pt-BR&rclk=1|MC Company Loja 04 - Marista CMB|4,3|7 avaliações|Loja de moda feminina|||
https://www.google.com/maps/place/Condom%C3%ADnio+Parque+Cerrado+I/data=!4m5!3m4!1s0x935ef75597ac5c55:0x1a0293fe2e91b0ad!8m2!3d-16.7524662!4d-49.3404453?authuser=0&hl=pt-BR&rclk=1|Condomínio Parque Cerrado I|4,5|63 avaliações|Comunidade privada|R. Pamplona, N° 140 - Res. Barcelona, Goiânia - GO, 74354-855|(62) 98109-8192|6MX5+2R Res. Barcelona, Goiânia - GO
https://www.google.com/maps/place/LEOFORT+Transporte+de+Cargas/data=!4m5!3m4!1s0x935efbcf17d40155:0x88b4db8b934d6cf9!8m2!3d-16.7813697!4d-49.2655388?authuser=0&hl=pt-BR&rclk=1|LEOFORT Transporte de Cargas|5,0|1 avaliação|Empresa de transporte rodoviário|Res. Alvaluz, Aparecida de Goiânia - GO, 74950-350|6P9M+FQ Res. Alvaluz, Aparecida de Goiânia - GO|Reivindicar esta empresa
